caseid,1,2,3,4,5
1021791,married,married,married,married,married
1023721,married,married,married,married,married
1024643,partnered,partnered,,partnered,partnered
1029571,married,married,married,married,married
1030441,married,married,married,married,married
1031721,married,married,married,married,married
1033811,married,married,married,married,married
1034483,partnered,partnered,partnered,partnered,partnered
1035596,partnered,partnered,partnered,partnered,partnered
1036721,married,married,married,married,married
1037633,partnered,partnered,partnered,partnered,partnered
1039481,married,married,married,married,married
1040361,married,married,,married,married
1041291,married,married,married,married,married
1043811,married,married,married,married,married
1045611,married,married,married,married,married
1046321,married,married,,married,married
1048266,partnered,partnered,partnered,partnered,partnered
1050395,partnered,partnered,partnered,partnered,partnered
1052595,partnered,partnered,partnered,partnered,partnered
1058195,partnered,partnered,,,
1059286,partnered,partnered,partnered,partnered,partnered
1061491,married,married,married,married,married
1062551,married,married,,married,married
1064496,partnered,partnered,,,
1073351,married,,married,married,married
1074381,married,married,married,married,married
1076291,married,married,,married,married
1078631,married,married,,married,married
1079255,partnered,partnered,partnered,partnered,married
1083446,partnered,partnered,partnered,partnered,partnered
1084706,partnered,,,partnered,partnered
1085626,partnered,partnered,partnered,partnered,partnered
1087551,married,married,married,married,married
1090535,partnered,partnered,partnered,partnered,partnered
1092291,married,married,married,married,married
1093441,married,married,married,married,married
1094453,partnered,partnered,partnered,,
1098406,partnered,partnered,partnered,partnered,partnered
1099651,married,married,married,married,married
1100361,married,married,,married,married
1101471,married,married,married,married,married
1103641,married,married,married,married,married
1104541,married,married,married,married,married
1106521,married,married,,,
1109341,married,married,married,married,married
1110421,married,married,married,married,married
1111291,married,married,married,married,married
1112651,married,married,,married,married
1113205,partnered,partnered,partnered,partnered,partnered
1114781,married,married,married,married,married
1115241,married,married,married,married,married
1118711,married,married,married,married,married
1119781,married,married,married,married,married
1121235,partnered,partnered,partnered,partnered,partnered
1123532,married,married,married,married,married
1124611,married,married,married,married,married
1127351,married,married,,married,married
1130254,married,married,married,married,married
1131421,married,married,married,married,married
1133286,partnered,partnered,partnered,partnered,partnered
1134571,married,married,married,married,married
1135451,married,married,married,married,married
1136341,married,married,married,married,married
