caseid,1,2,3,4,5
842195,not married,partnered,Partnered,Unmarried partners,unmarried partners
843215,not married,,Partnered,,
844645,not married,,,,
845465,not married,,,,
846681,married,married,Married,Married,married
847471,married,married,Married,Married,married
848275,not married,,,,
849591,married,married,Married,Married,married
850621,married,married,Married,Married,married
851405,not married,,,,
852291,married,married,,Married,married
853265,not married,,,,
854321,married,married,Married,Married,married
855291,married,married,,Married,married
857421,married,married,Married,Married,married
859443,not married,,,,
860495,not married,partnered,Partnered,Unmarried partners,unmarried partners
862571,married,,,,
863321,married,married,Married,Married,married
864491,married,married,,Married,married
865761,married,married,,Married,married
866281,married,married,Married,Married,married
867591,married,,,Married,married
869435,not married,,,,
870281,married,married,,,
871691,married,married,Married,Married,married
872215,not married,partnered,,,
873623,not married,partnered,,,
874205,not married,,,,
875485,not married,partnered,,,
876325,not married,,,,
877525,not married,partnered,Partnered,,
878321,married,married,Married,Married,married
879303,not married,partnered,,,
880235,not married,,,,
881325,not married,,,Unmarried partners,unmarried partners
882515,not married,,,,
883411,married,,,Married,married
884575,not married,,,,
885511,married,,Married,Married,married
886295,not married,,,Unmarried partners,unmarried partners
887421,married,married,,Married,married
888391,married,married,Married,Married,married
889295,not married,partnered,Partnered,,
890553,not married,,,,
891551,married,married,Married,Married,married
892453,not married,partnered,,,
893505,not married,,,,
894795,not married,,,,
895411,married,married,Married,Married,married
896413,not married,partnered,Partnered,Unmarried partners,unmarried partners
897553,not married,,,,
898456,not married,partnered,Partnered,Unmarried partners,unmarried partners
899246,not married,partnered,Partnered,Unmarried partners,unmarried partners
900391,married,married,Married,Married,married
901691,married,married,Married,Married,married
902521,not married,partnered,Married,Married,married
903206,not married,,Partnered,Unmarried partners,unmarried partners
904751,married,married,Married,Married,married
905491,married,,Married,Married,married
906593,not married,partnered,,,
907301,married,married,Married,Married,married
909792,not married,partnered,,,
910521,married,married,Married,Married,married
912315,not married,,,,
914265,not married,,,,
915555,not married,,,,
916433,not married,,,,
918235,not married,partnered,Partnered,,
919582,married,married,,,
920682,not married,,,,
921395,not married,,,,
922591,married,married,Married,Married,married
923466,not married,partnered,Partnered,Unmarried partners,unmarried partners
924602,not married,partnered,,Unmarried partners,unmarried partners
925885,not married,,,,
926551,married,married,,Married,married
927581,not married,,,,
928523,not married,partnered,,,
931613,not married,,,,
932566,not married,partnered,,Unmarried partners,unmarried partners
933465,not married,,,,
934261,married,married,Married,Married,married
935521,married,,,Married,married
936245,not married,,,,
938785,not married,,,,
939441,married,married,Married,Married,married
941545,not married,,,,
942656,married,married,Married,Married,married
943441,married,married,Married,Married,married
944531,married,married,Married,Married,married
945665,not married,partnered,Partnered,,
946371,married,married,Married,Married,married
948531,married,married,Married,Married,married
950495,not married,,,,
951271,married,married,Married,Married,married
952371,married,married,Married,Married,married
953681,married,married,,Married,married
954702,not married,partnered,,Unmarried partners,unmarried partners
955731,not married,,,,
956591,married,married,,Married,married
959381,married,married,Married,Married,married
960593,married,married,Married,Married,married
961605,not married,,,,
962485,not married,,,,
963573,not married,partnered,,,
965575,not married,partnered,Partnered,,
966351,married,married,Married,Married,married
967663,married,married,Married,Married,married
968782,not married,,,,
970742,not married,,,,
971831,married,married,,Married,married
972391,married,married,Married,Married,married
973581,married,married,Married,Married,married
974591,married,married,Married,Married,married
976531,married,married,Married,Married,married
977741,married,married,Married,Married,married
978651,married,married,,Married,married
979711,married,married,Married,Married,married
980603,not married,,,,
981733,not married,,,,
982591,married,married,Married,Married,married
983661,married,married,Married,Married,married
984451,married,married,Married,Married,married
985571,married,married,Married,Married,married
986481,married,married,Married,Married,married
987411,married,married,Married,Married,married
988445,not married,,,,
989215,not married,partnered,,Unmarried partners,unmarried partners
990636,not married,partnered,Partnered,Unmarried partners,unmarried partners
991466,not married,partnered,Partnered,Married,married
992341,married,married,,Married,married
995656,married,married,Married,Married,married
996793,not married,,,,
997532,not married,,,,
998391,married,married,,Married,married
999231,married,,,Married,married
1000561,married,married,,Married,married
1001791,married,married,,Married,married
1003291,married,married,Married,Married,married
1004741,married,,Married,Married,married
1005421,married,married,,Married,married
1006611,married,married,Married,Married,married
1008275,married,married,Married,,
1009361,married,married,Married,Married,married
1010732,married,married,,,
1011511,married,married,Married,Married,married
1012583,not married,,,,
1013451,married,,,Married,married
1014645,not married,,,,
1015371,married,married,Married,Married,married
1016205,not married,,,,
1017606,married,married,Married,Married,married
1018641,married,married,Married,Married,married
1021791,married,married,Married,Married,married
1022721,married,,,Married,married
1023721,married,married,Married,Married,married
1024643,not married,partnered,,Unmarried partners,unmarried partners
1025543,not married,,,,
1026381,married,,,Married,married
1029571,married,married,Married,Married,married
1030441,married,married,Married,Married,married
